OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,DECADES,Shape__Area,Shape__Length,DURATION
30,2023,CA,CCO,KRN,LAZY,23-21128,2023-05-10 00:00:00+00:00,2023-05-10 00:00:00+00:00,Unknown Cause,1.0,1.0,3.267727,No Comments,2020,19948.7890625,742.667896509371,0
31,2023,CA,CCO,KRN,BITTER,23-21544,2023-05-12 00:00:00+00:00,2023-05-12 00:00:00+00:00,Unknown Cause,1.0,1.0,225.6406,No Comments,2020,1383222.34765625,5326.45543821856,0
32,2023,CA,CCO,KRN,LAVENDER ,23-21875,2023-05-14 00:00:00+00:00,2023-05-14 00:00:00+00:00,Lightning,1.0,1.0,14.74279,No Comments,2020,90465.5625,1800.28339730919,0
33,2023,CA,LRA,KRN,POND,23-22631,2023-05-18 00:00:00+00:00,2023-05-18 00:00:00+00:00,Unknown Cause,7.0,1.0,6.763345,No Comments,2020,44627.17578125,1060.99837142796,0
34,2023,CA,CCO,KRN,ELK,23-23270,2023-05-21 00:00:00+00:00,2023-05-21 00:00:00+00:00,Unknown Cause,1.0,1.0,9.687215,No Comments,2020,58624.11328125,1374.36226100426,0
35,2023,CA,CCO,KRN,TOLL,23-23490,2023-05-22 00:00:00+00:00,2023-05-22 00:00:00+00:00,Unknown Cause,1.0,1.0,6.860587,No Comments,2020,41750.76171875,1105.91052052054,0
36,2023,CA,CCO,KRN,POINT,23-25671,2023-06-04 00:00:00+00:00,2023-06-04 00:00:00+00:00,Lightning,1.0,1.0,4.915308,No Comments,2020,29805.7109375,907.303007096636,0
37,2023,CA,CCO,KRN,PENTLAND,23-25892,2023-06-05 00:00:00+00:00,2023-06-06 00:00:00+00:00,Unknown Cause,1.0,1.0,83.47556,No Comments,2020,504927.51171875,4146.01597875623,1
38,2023,CA,CCO,KRN,LITTLE,23-26311,2023-06-08 00:00:00+00:00,2023-06-08 00:00:00+00:00,Railroad,1.0,1.0,59.26785,No Comments,2020,363380.9921875,3161.21385528543,0
39,2023,CA,CCO,KRN,ELK,23-27131,2023-06-13 00:00:00+00:00,2023-06-13 00:00:00+00:00,Structure,1.0,1.0,5.666053,No Comments,2020,34513.80078125,1180.02780027584,0
40,2023,CA,CCO,KRN,TANK,23-28282,2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,Unknown Cause,1.0,1.0,5.777378,No Comments,2020,35535.09375,1446.9448978274,1
41,2023,CA,CCO,KRN,FAMOSO,23-28727,2023-06-23 00:00:00+00:00,2023-06-23 00:00:00+00:00,Unknown Cause,1.0,1.0,6.419109,No Comments,2020,39402.58203125,773.845044652949,0
42,2023,CA,CCO,KRN,LAST,23-28896,2023-06-24 00:00:00+00:00,2023-06-24 00:00:00+00:00,Unknown Cause,1.0,1.0,3.334712,No Comments,2020,20361.14453125,646.584897570341,0
43,2023,CA,CCO,KRN,POST,23-29421,2023-06-27 00:00:00+00:00,2023-06-27 00:00:00+00:00,Unknown Cause,1.0,1.0,5.966745,No Comments,2020,36596.77734375,1362.92193236612,0
44,2023,CA,CCO,KRN,WATER,23-29476,2023-06-27 00:00:00+00:00,2023-06-27 00:00:00+00:00,Unknown Cause,1.0,1.0,7.961721,No Comments,2020,48856.96875,1201.87791796314,0
45,2023,CA,CCO,KRN,CHAMPAGNE,23-29961,2023-06-30 00:00:00+00:00,2023-06-30 00:00:00+00:00,Structure,1.0,1.0,107.8487,No Comments,2020,651052.49609375,4648.68537232396,0
46,2023,CA,CCO,KRN,TRUCK,23-30046,2023-06-30 00:00:00+00:00,2023-07-01 00:00:00+00:00,Unknown Cause,1.0,1.0,17.15697,No Comments,2020,103697.05078125,2221.2211032266,1
47,2023,CA,CCO,KRN,ROUND,23-30473,2023-07-03 00:00:00+00:00,2023-07-03 00:00:00+00:00,Unknown Cause,1.0,1.0,536.0197,No Comments,2020,3290774.2578125,11616.3652403161,0
48,2023,CA,CCO,KRN,CANYON,23-30325,2023-07-02 00:00:00+00:00,2023-07-03 00:00:00+00:00,Unknown Cause,1.0,1.0,9.05986,No Comments,2020,54912.9453125,1875.04816244704,1
49,2023,CA,CCO,KRN,SOUTH 2,23-30565,2023-07-03 00:00:00+00:00,2023-07-03 00:00:00+00:00,Unknown Cause,1.0,1.0,9.613276,No Comments,2020,67641.21484375,1438.10278837926,0
50,2023,CA,CCO,KRN,TREE,23-30723,2023-07-04 00:00:00+00:00,2023-07-04 00:00:00+00:00,Unknown Cause,1.0,1.0,6.170191,No Comments,2020,37428.29296875,1100.11406446195,0
51,2023,CA,CCO,KRN,BAKER,23-32167,2023-07-11 00:00:00+00:00,2023-07-11 00:00:00+00:00,Unknown Cause,1.0,1.0,3.72376,No Comments,2020,22675.671875,1174.85848737343,0
52,2023,CA,CCO,KRN,MID,23-32474,2023-07-13 00:00:00+00:00,2023-07-13 00:00:00+00:00,Unknown Cause,1.0,1.0,4.990486,No Comments,2020,30309.01171875,777.184071121593,0
53,2023,CA,CCO,KRN,DISTRICT,23-31430,2023-07-07 00:00:00+00:00,2023-07-12 00:00:00+00:00,Unknown Cause,2.0,1.0,1043.665,No Comments,2020,6292144.94140625,12913.9059085782,5
54,2023,CA,CCO,KRN,BODFISH,23-33592,2023-07-19 00:00:00+00:00,2023-07-20 00:00:00+00:00,Unknown Cause,1.0,1.0,52.75753,No Comments,2020,321188.984375,2453.60466606071,1
55,2023,CA,CCO,KRN,SCODIE,23-35185,2023-07-28 00:00:00+00:00,2023-07-31 00:00:00+00:00,Unknown Cause,1.0,1.0,20.61374,No Comments,2020,126800.3203125,4049.18938777411,3
56,2023,CA,CCO,KRN,BEALE,23-35614,2023-07-31 00:00:00+00:00,2023-08-01 00:00:00+00:00,Unknown Cause,1.0,1.0,60.6251,No Comments,2020,368792.39453125,3734.17974082288,1
57,2023,CA,CCO,KRN,HABERKERN,23-35677,2023-07-31 00:00:00+00:00,2023-08-01 00:00:00+00:00,Unknown Cause,1.0,1.0,34.74714,No Comments,2020,209238.98828125,3222.64980333255,1
58,2023,CA,CCO,KRN,COMANCHE,23-35813,2023-08-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,Unknown Cause,1.0,1.0,4.387525,No Comments,2020,26755.98828125,786.570330819241,0
59,2023,CA,CCO,KRN,EAST,23-35760,2023-08-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,Unknown Cause,1.0,1.0,1291.166,No Comments,2020,7899533.1953125,15390.5216597692,0
60,2023,CA,CCO,KRN,EDMONSTON,23-36091,2023-08-03 00:00:00+00:00,2023-08-04 00:00:00+00:00,Unknown Cause,1.0,1.0,14.59014,No Comments,2020,88044.421875,1789.61277467236,1
61,2023,CA,CCO,KRN,ALMOND,23-36511,2023-08-06 00:00:00+00:00,2023-08-07 00:00:00+00:00,Unknown Cause,1.0,1.0,5228.871,No Comments,2020,32043957.1210938,45656.0660909036,1
62,2023,CA,CCO,KRN,BOULEVARD,23-36217,2023-08-04 00:00:00+00:00,2023-08-07 00:00:00+00:00,Unknown Cause,1.0,1.0,89.46474,No Comments,2020,542043.421875,8956.07928963521,3
63,2023,CA,CCO,KRN,BRITE,23-37066,2023-08-09 00:00:00+00:00,2023-08-09 00:00:00+00:00,Unknown Cause,1.0,1.0,3.816716,No Comments,2020,23131.67578125,712.314840154778,0
64,2023,CA,CCO,KRN,GENERAL,23-37712,2023-08-13 00:00:00+00:00,2023-08-13 00:00:00+00:00,Human Activity,1.0,1.0,16.05068,No Comments,2020,97481.0390625,1702.3947196682,0
65,2023,CA,CCO,KRN,TROTTER,23-37821,2023-08-14 00:00:00+00:00,2023-08-17 00:00:00+00:00,Unknown Cause,1.0,1.0,52.54716,No Comments,2020,318702.40234375,4868.13291235762,3
66,2023,CA,CCO,KRN,GROVE,23-37846,2023-08-14 00:00:00+00:00,2023-08-14 00:00:00+00:00,Unknown Cause,1.0,1.0,4.713907,No Comments,2020,28567.82421875,1609.3463258167,0
67,2023,CA,CCO,KRN,BLACKWELL,23-38706,2023-08-19 00:00:00+00:00,2023-08-19 00:00:00+00:00,Human Activity,1.0,1.0,34.64903,No Comments,2020,212358.31640625,2262.75029492936,0
